jumpHeight,takeOffVelocity,bodyWeight,pushOffDistance,maxPower,maxPowerRelative,slope,slopeRelative
0.228423849,2.116996911,75,0.35,1378.089959,18.37453279,-2020.301721,-26.93735628
0.218069611,2.068459759,80,0.35,1377.610601,17.22013252,-1996.468779,-24.95585974
0.208010563,2.020189904,85,0.35,1377.669548,16.20787704,-2007.097781,-23.61291507
0.197489618,1.968437531,90,0.35,1375.923331,15.28803701,-1992.505512,-22.13895014
0.262088665,2.26763745,70,0.35,1614.001065,23.05715808,-2345.579787,-33.50828267
0.251876349,2.223019111,75,0.35,1615.08158,21.53442107,-2395.449537,-31.93932716
0.242649408,2.181921489,80,0.35,1615.582843,20.19478553,-2354.675306,-29.43344133
0.232809717,2.137224054,85,0.35,1613.485418,18.98218139,-2393.426276,-28.15795619
0.224060364,2.09667936,90,0.35,1613.667871,17.92964301,-2346.970255,-26.07744728
0.279456255,2.341566083,70,0.35,1840.259332,26.28941903,-2701.088458,-38.58697796
0.270314505,2.302948237,75,0.35,1844.891762,24.59855682,-2709.167408,-36.12223211
0.262088665,2.26763745,80,0.35,1846.998663,23.08748329,-2731.206758,-34.14008447
0.253267164,2.229148213,85,0.35,1847.875932,21.73971684,-2730.71227,-32.1260267
0.244490302,2.190182577,90,0.35,1843.230724,20.48034138,-2705.718609,-30.06354009
0.293366185,2.399134126,70,0.35,2077.754812,29.6822116,-3038.812384,-43.41160548
0.285325887,2.366029144,75,0.35,2075.986843,27.67982457,-3059.046137,-40.78728183
0.277242427,2.332272802,80,0.35,2073.943142,25.92428928,-3038.617404,-37.98271755
0.269171158,2.298072697,85,0.35,2070.699313,24.36116839,-3050.42068,-35.88730212
0.262088665,2.26763745,90,0.35,2075.767012,23.06407791,-3061.609259,-34.01788065
0.304323421,2.443527272,70,0.35,2290.122658,32.71603797,-3351.683207,-47.88118867
0.297123402,2.414448414,75,0.35,2292.572311,30.56763081,-3371.851165,-44.95801553
0.289876661,2.384822862,80,0.35,2319.357963,28.99197454,-3447.659195,-43.09573993
0.282626554,2.354810606,85,0.35,2318.051899,27.27119881,-3458.8081,-40.69186
